respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.18555687519374628,0.2727013499492022
26708,0.030277497259819087,0.03993807546482914
26709,0.1521821395845446,0.6887876989997872
26710,0.7606528895311034,0.9149025906426747
26711,0.19843752787381164,0.5041037183560411
26712,0.8533911447424263,0.959623628718921
26713,0.28139789500478135,0.620471213147108
26714,0.12536652324354422,0.10428990847267312
26715,0.014781936727539847,0.056214347464352006
26716,0.20197496467196457,0.9090341184145735
26717,0.012622900582939625,0.3322639501129521
26718,0.5015728934388847,0.4986867362045878
26719,0.11631587206391233,0.9068144607503102
26720,0.02170018977327956,0.1612633339363404
26721,0.4456900746757323,0.4768415672911751
26722,0.05181453302172118,0.10200557577528886
26723,0.8138529299556594,0.9408301203830637
26724,0.013105404419473528,0.7033461881029041
26725,0.010620956760729832,0.04803541229333794
26726,0.05229632812548518,0.0810009577365243
26727,0.56172575570911,0.9167818797896967
26728,0.16200814552790804,0.597223998806824
26729,0.2461835215960997,0.7266877262878899
26730,0.03815906950730883,0.0955658520882163
26731,0.024690499797807876,0.2747029045798455
26732,0.08927303368843424,0.15093859095429896
26733,0.9467541447922981,0.9567910694541495
26734,0.7582835954061996,0.4158937969991779
26735,0.0738696821099194,0.29585198723336886
26736,0.04300421547115472,0.11850580365348505
26737,0.05212336490516952,0.11622307376974406
26738,0.81093635484843,0.9228618445392119
26739,0.12658052823802604,0.18422085854873693
26740,0.15340774585872094,0.10925071268338735
26741,0.032952035457702845,0.900034491373466
26742,0.08151800057386983,0.39439968530248404
26743,0.03691867833143121,0.4244519632091526
26744,0.039075074484919856,0.770996900308723
26745,0.048004059910572675,0.8234251203819641
26746,0.16333237792797825,0.41421245157169045
26747,0.0383013229578066,0.0936073175723835
26748,0.0632418911947024,0.09728392288670831
26749,0.052621431692149966,0.735638524588195
26750,0.43012355242866807,0.8850184480499234
26751,0.43036016899020346,0.796230783918864
26752,0.055628780541386744,0.06922780746138982
26753,0.2446757721152594,0.5488943941691905
26754,0.16160068381085438,0.3805186814148372
26755,0.12326750892833059,0.38115793551010296
26756,0.019522988311946026,0.03663091420043704
26757,0.16631843087853906,0.4394625918029673
26758,0.5164113993753237,0.8072778336025251
26759,0.01232627782002102,0.13323509840711167
26760,0.02928170253330827,0.0747235864645754
26761,0.37385452580791984,0.7547862939019055
26762,0.14612631305665144,0.8715739510740171
26763,0.8597556761007991,0.9237787886958023
26764,0.9508165407261671,0.9529784176698143
26765,0.04379765349844581,0.5963701773934916
26766,0.05830557036023317,0.15720151670138002
26767,0.9052955306175728,0.7778533120532616
26768,0.021240254786252296,0.3835027950207667
26769,0.05732552529276682,0.19066745574820523
26770,0.024918018400832572,0.48987405005024093
26771,0.028921957739391,0.14208197714164642
26772,0.05292005249121053,0.5905000754423145
26773,0.04329550544448772,0.23051065700607593
26774,0.028143075748029354,0.2860982687034026
26775,0.018454086993206675,0.5319047364974108
26776,0.5357659299929676,0.3701325167172858
26777,0.07762620318869985,0.9428047815119028
26778,0.07837480188159832,0.07235458959966226
26779,0.2114792107610119,0.6689513709765432
26780,0.030570630574060436,0.9304790797966903
26781,0.03596710808537677,0.39605819173381196
26782,0.04590292643174711,0.2531513867212991
26783,0.018868700218246447,0.24982887748546745
26784,0.10039842918237865,0.7882764755241373
26785,0.4654722925945699,0.721473430299974
26786,0.03752763262102053,0.21898229367380942
26787,0.06511723200152779,0.5439291797554315
26788,0.026288577107681364,0.908911118071311
26789,0.019401839626033243,0.17607557657111944
26790,0.017857652716360414,0.12231540309950902
26791,0.05803506828897788,0.07035153960578432
26792,0.038441951699068715,0.775120372212356
26793,0.15357419666350322,0.9602203866941761
26794,0.6323656825462542,0.8640332152788163
26795,0.09774160355151292,0.9665570316704841
26796,0.021602617231869327,0.03400585211903091
26797,0.13799926824023698,0.8149164327859554
26798,0.2682693115705126,0.14731351942827742
26799,0.27464208662746,0.3472737608789494
26800,0.044091019088184004,0.9528960891319506
26801,0.19585689893928335,0.2729568360685485
26802,0.09652569011238547,0.17608023500076794
26803,0.029554431588405438,0.18632144867457406
26804,0.04328155954027659,0.06876444150273063
26805,0.07265233482093114,0.1514766781332193
26806,0.012249564748047236,0.930650138130706
26807,0.4476907921298222,0.8629118363032391
26808,0.04749150092616744,0.3719008191000082
26809,0.5389311074421307,0.2543149625518694
26810,0.039992576877900685,0.0694573165660897
26811,0.0150662532075876,0.04664006477886468
26812,0.32276912120390466,0.9315577985240988
26813,0.5205639130839829,0.424932989948996
26814,0.019780478029026206,0.7646249927750208
26815,0.009637026421523113,0.029882991512094878
26816,0.07178640475158209,0.1267804387601318
26817,0.017869376692857736,0.5198607677533985
26818,0.1171723754409979,0.30509019218740613
26819,0.17498119980137872,0.21488795982067604
26820,0.0890615633075704,0.14051985869718395
26821,0.03520588253502043,0.6502447394594676
26822,0.0671984655182632,0.6084986649678745
26823,0.21656261866298485,0.3989319322169804
26824,0.031147601069167863,0.752657221438633
26825,0.5272062392124514,0.769131517486621
26826,0.028797288547792975,0.7833227656255976
26827,0.024232616070447768,0.08374794688469338
26828,0.07125053553355958,0.35749625050452916
26829,0.8573466272281804,0.9437313110931215
26830,0.014051748405493156,0.7979961914151193
26831,0.16521075833529378,0.8678732600438243
26832,0.018635471995538826,0.8336800456664665
26833,0.03893609034114255,0.7209098064083058
26834,0.1528291984595582,0.48060055559839676
26835,0.3177138013511474,0.8476744275017013
26836,0.26715744393633506,0.6170442872208057
26837,0.0745930577039198,0.03634227102099634
26838,0.08968604801493538,0.43662613989370935
26839,0.13451218562633027,0.4429721108424133
26840,0.07160268665211153,0.10517392115565385
26841,0.531271312874483,0.7888242342411128
26842,0.07649267003701359,0.14087555056115447
26843,0.02954633529376667,0.053360974288879745
26844,0.03796593421307189,0.3229742495040146
26845,0.01844559240772911,0.7352628357217769
26846,0.0344607543029113,0.8718251338978705
26847,0.3894348617142547,0.0733114271086764
26848,0.02159014046519285,0.74869547941627
